Height_boys
Age (years),Height_5th,Height_10th,Height_25th,Height_50th,Height_75th,Height_90th,Height_95th
1,77.2,78.3,80.2,82.4,84.6,86.7,87.9
2,86.1,87.4,89.6,92.1,94.7,97.1,98.5
3,92.5,93.9,96.3,99,101.8,104.3,105.8
4,98.5,100.2,102.9,105.9,108.9,111.5,113.2
5,104.4,106.2,109.1,112.4,115.7,118.6,120.3
6,110.3,112.2,115.3,118.9,122.4,125.6,127.5
7,116.1,118,121.4,125.1,128.9,132.4,134.5
8,121.4,123.5,127,131,135.1,138.8,141
9,126,128.3,132.1,136.3,140.7,144.7,147.1
10,130.2,132.7,136.7,141.3,145.9,150.1,152.7
11,134.7,137.3,141.5,146.4,151.3,155.8,158.6
12,140.3,143,147.5,152.7,157.9,162.6,165.5
13,147,150,154.9,160.3,165.7,170.5,173.4
14,153.8,156.9,162,167.5,172.7,177.4,180.1
15,159,162,166.9,172.2,177.2,181.6,184.2
16,162.1,165,169.6,174.6,179.5,183.8,186.4
17,163.8,166.5,170.9,175.8,180.7,184.9,187.5
